N,종목명,현재가,전일비,등락률,액면가,시가총액,PER,ROA,per_score,roa_score,total_score
25.0,한미반도체,130000.0,"하락  3,000",-2.26%,100.0,126541.0,47.36,45.31,131.86708527562143,485.49379901513765,617.360884290759
97.0,한진칼,59700.0,하락  100,-0.17%,2500.0,39857.0,10.43,10.09,146.0066237209614,108.11371511946012,254.1203388404215
27.0,크래프톤,251000.0,"상승  8,000",+3.29%,100.0,121395.0,20.54,9.52,142.13576713600645,102.00620098486229,244.14196812086874
49.0,HD현대일렉트릭,230000.0,"하락  9,500",-3.97%,5000.0,82908.0,31.99,9.71,137.75185933207624,104.04203902972824,241.79389836180448
62.0,포스코DX,40400.0,상승  150,+0.37%,500.0,61422.0,66.89,10.58,124.38955519607936,113.36403428779863,237.753589483878
95.0,한미약품,317000.0,"하락  2,500",-0.78%,2500.0,40611.0,27.77,8.65,139.36758779780422,92.68420572679189,232.05179352459612
30.0,KT&G,92100.0,"상승  1,200",+1.32%,5000.0,120027.0,13.92,7.36,144.6703933073617,78.86193689585991,223.53233020322162
11.0,삼성SDI,438000.0,"하락  5,500",-1.24%,5000.0,301189.0,15.34,6.43,144.12671216486555,68.89704541309501,213.02375757796057
35.0,한화에어로스페이스,215500.0,"하락  5,000",-2.27%,5000.0,109108.0,13.35,5.63,144.8886315124482,60.32509575050154,205.21372726294973
26.0,삼성에스디에스,158800.0,상승  400,+0.25%,500.0,122876.0,17.72,5.78,143.2154719401185,61.932336312237815,205.14780825235633
80.0,LS ELECTRIC,159800.0,"하락  7,700",-4.60%,5000.0,47940.0,23.28,5.89,141.08669225541527,63.11097939084441,204.1976716462597
51.0,포스코인터내셔널,46150.0,하락  50,-0.11%,5000.0,81188.0,12.04,4.67,145.3901965101031,50.03875615538938,195.4289526654925
98.0,엔씨소프트,179700.0,"상승  1,500",+0.84%,500.0,39451.0,18.6,4.84,142.8785427813885,51.86029545869049,194.73883824007896
92.0,현대오토에버,151900.0,상승  300,+0.20%,500.0,41657.0,30.24,5.14,138.42188890909614,55.07477658216304,193.4966654912592
14.0,삼성물산,146000.0,하락  100,-0.07%,100.0,270964.0,12.35,4.35,145.27150555645957,46.60997629035199,191.88148184681157
43.0,고려아연,463000.0,"상승  3,000",+0.65%,5000.0,96807.0,17.72,4.42,143.2154719401185,47.360021885828914,190.57549382594743
63.0,유한양행,71900.0,하락  100,-0.14%,1000.0,57670.0,43.0,5.07,133.53641610751103,54.32473098668611,187.86114709419715
34.0,SK텔레콤,50800.0,하락  200,-0.39%,100.0,109113.0,10.17,3.73,146.10617097240436,39.96671530184205,186.0728862742464
